Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2020-10-29,4183,690,840,2345,2650,3294,20636,1036,12300,9422,33,67,3966,69
2020-10-30,4268,699,857,2384,2693,3324,21132,1057,12558,9616,33,67,4055,69
2020-10-31,4352,707,872,2434,2730,3366,21506,1068,12875,9737,33,68,4096,69
2020-11-01,4435,717,885,2471,2786,3396,21949,1095,13128,9877,33,68,4152,69
2020-11-02,4511,728,896,2509,2819,3413,22334,1106,13396,9946,33,68,4184,69
2020-11-03,4618,740,906,2551,2841,3443,22712,1118,13603,10074,33,69,4234,69
2020-11-04,4706,750,916,2634,2875,3485,23314,1130,13921,10237,33,70,4304,69
2020-11-05,4786,753,935,2703,2950,3512,23795,1148,14157,10365,33,70,4384,69
2020-11-06,4861,767,958,2750,2979,3536,24255,1165,14367,10477,33,70,4445,69
2020-11-07,4979,785,979,2825,3045,3567,24857,1185,14735,10668,34,70,4530,69
2020-11-08,5080,792,986,2886,3088,3609,25273,1200,14980,10790,34,70,4585,70
2020-11-09,5153,798,997,2936,3108,3635,25636,1206,15199,10897,34,70,4616,70
2020-11-10,5243,806,1003,2969,3147,3655,25929,1215,15370,11011,34,70,4665,70
2020-11-11,5323,812,1015,3038,3203,3706,26417,1224,15642,11156,34,70,4737,71
2020-11-12,5399,831,1033,3114,3234,3760,26891,1241,15873,11297,35,70,4810,72
2020-11-13,5476,841,1046,3262,3314,3810,27324,1254,16140,11460,35,70,4911,74
2020-11-14,5554,848,1053,3344,3373,3885,27724,1268,16358,11580,35,70,4968,75
2020-11-15,5644,867,1060,3412,3443,3937,28183,1277,16584,11688,35,70,5019,75
2020-11-16,5692,881,1068,3454,3506,3970,28403,1288,16720,11789,35,71,5059,75
2020-11-17,5771,888,1074,3516,3586,4015,28842,1297,17002,11942,35,71,5145,75
2020-11-18,5857,896,1077,3600,3648,4062,29262,1311,17314,12083,35,71,5232,75
2020-11-19,5935,910,1087,3665,3689,4124,29611,1322,17527,12266,36,73,5292,75
2020-11-20,6021,921,1092,3725,3745,4179,30002,1328,17689,12389,36,73,5355,75
2020-11-21,6080,933,1104,3777,3789,4215,30236,1334,17935,12529,36,73,5401,75
2020-11-22,6126,942,1109,3821,3815,4263,30545,1339,18116,12648,36,73,5453,75
2020-11-23,6209,950,1114,3881,3849,4306,30915,1346,18306,12743,36,73,5507,75
2020-11-24,6259,956,1115,3929,3893,4355,31162,1357,18462,12851,36,71,5560,75
2020-11-25,6321,962,1123,3969,3917,4477,31422,1371,18652,12945,36,73,5618,75
2020-11-26,6440,968,1129,4046,3984,4551,31805,1384,18887,13113,37,75,5691,76
2020-11-27,6503,973,1137,4106,4027,4624,32120,1391,19088,13234,37,75,5762,78
2020-11-28,6561,979,1141,4165,4072,4674,32341,1410,19254,13356,37,75,5800,78
2020-11-29,6639,980,1143,4212,4112,4721,32570,1422,19413,13434,37,75,5853,78
2020-11-30,6672,983,1143,4240,4120,4758,32703,1426,19461,13482,37,75,5879,78
2020-12-01,6716,994,1147,4300,4178,4801,32939,1433,19629,13565,38,75,5915,81
2020-12-02,6786,1000,1155,4369,4226,4864,33282,1445,19783,13680,38,75,5978,81
2020-12-03,6875,1007,1160,4429,4274,4940,33539,1461,19938,13830,38,76,6071,82
2020-12-04,6944,1014,1167,4492,4321,5008,33797,1559,20104,13947,38,76,6137,82
2020-12-05,7008,1020,1172,4544,4370,5077,34007,1574,20221,14096,38,76,6178,82
2020-12-06,7078,1023,1177,4604,4394,5125,34197,1577,20347,14160,38,76,6228,82
2020-12-07,7134,1029,1182,4656,4446,5190,34375,1584,20450,14274,38,76,6267,82
2020-12-08,7218,1041,1185,4701,4488,5233,34564,1589,20540,14407,38,76,6313,82
2020-12-09,7283,1056,1194,4764,4539,5330,34787,1602,20687,14557,38,76,6377,82
2020-12-10,7364,1067,1200,4855,4619,5393,35002,1613,20843,14715,38,76,6434,86
2020-12-11,7481,1079,1204,4934,4653,5504,35248,1626,20968,14911,38,76,6498,86
2020-12-12,7570,1104,1209,5038,4708,5583,35544,1640,21119,15054,38,76,6601,86
2020-12-13,7650,1118,1211,5110,4736,5663,35723,1657,21235,15193,38,76,6674,86
2020-12-14,7731,1129,1213,5152,4765,5726,35936,1669,21330,15328,38,76,6723,88
2020-12-15,7811,1144,1218,5219,4805,5812,36142,1681,21457,15496,38,76,6761,89
2020-12-16,7902,1162,1223,5263,4836,5893,36251,1697,21549,15636,38,76,6822,90
2020-12-17,7965,1173,1236,5335,4879,5996,36472,1723,21678,15779,38,76,6856,90
2020-12-18,8016,1195,1247,5375,4908,6090,36644,1738,21743,15937,38,76,6943,90
2020-12-19,8081,1205,1248,5413,4939,6136,36764,1750,21864,16040,38,76,6966,91
2020-12-20,8176,1216,1258,5471,4974,6264,37038,1772,21951,16183,38,76,7037,92
2020-12-21,8282,1244,1273,5552,5060,6408,37404,1797,22190,16460,38,77,7173,92
2020-12-22,8382,1267,1298,5633,5100,6580,37825,1819,22331,16676,38,77,7248,92
2020-12-23,8509,1283,1309,5701,5164,6736,38084,1837,22545,16833,38,78,7347,92
2020-12-24,8609,1305,1327,5789,5202,6864,38418,1872,22779,17036,38,80,7459,92
2020-12-25,8700,1333,1341,5844,5244,7014,38718,1906,22930,17239,38,86,7548,94
2020-12-26,8771,1361,1358,5905,5287,7117,39041,1948,23147,17405,39,87,7624,94
2020-12-27,8823,1383,1385,5943,5317,7174,39273,1973,23247,17509,39,89,7675,94
2020-12-28,8885,1398,1393,6007,5358,7262,39525,1990,23402,17661,39,91,7786,94
2020-12-29,9023,1457,1499,6067,5450,7426,40043,2024,23684,17941,39,105,7934,94
2020-12-30,9163,1507,1591,6177,5544,7610,40661,2091,23979,18198,39,112,8064,95
2020-12-31,9388,1586,1705,6278,5622,7870,41341,2172,24351,18577,39,128,8300,96
2021-01-01,9591,1654,1862,6421,5731,8150,42027,2314,24700,18776,39,147,8482,98
2021-01-02,9705,1789,1967,6550,5840,8350,42548,2348,25033,19102,39,148,8603,107
